"Data Source","World Development Indicators",

"Last Updated Date","2018-05-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Cyprus","CYP","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","69160","66027","64186","63446","56649","56602","55366","55166","54309","50579","48701","46095","46198","46653","47381","50990","54254","56530","58720","60841","62962","63454","64313","64907","64884","64660","64761","","64248","63952","63637","63717","62868","61731","61247","59710","57785","56799","55837","54806","54371","54272","54069","53129","53773","","",
"Czech Republic","CZE","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","672455","689139","697540","700364","691700","676554","672390","682519","699852","","647029","683089","712249","721209","708522","694659","668890","633509","599705","566762","545814","537996","528750","538612","538743","541671","659263","662647","654511","644956","630680","603843","566581","534366","502831","473269","462820","459899","460486","463357","468273","477413","491828","510613","534932","","",
"Germany","DEU","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3431385","3438052","3582582","3639717","3727157","3804887","3859490","3865724","3767460","3655859","3519051","3373176","3303737","3305386","3306136","3329349","3311285","3236158","3150822","3067521","2989678","2936751","2890468","2862690","2879394","","",
"Djibouti","DJI","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","6422","6968","7781","8524","9306","9764","10198","12782","14121","15227","16841","18896","20433","21847","22533","25212","27136","28844","29833","31378","31706","33251","30589","33005","35024","36223","36896","37217","38194","38191","42392","44321","46364","48713","50651","53745","56667","56395","55546","","60992","63612","63368","64319","62940","61755","61846",
"Dominica","DMA","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","17808","17758","17533","17048","17675","17166","17570","17402","16540","15601","14815","14803","","13283","","12340","12772","12600","","12690","12836","12120","12795","12822","12627","","","","12044","11774","11430","10984","10460","9872","9441","8912","8643","8369","8231","8138","8138","8144","7851","7695","7535","7323","",
"Denmark","DNK","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","443031","451643","467405","482465","487329","490891","472134","461838","448370","442931","434635","432127","431946","426766","415148","402707","391895","380049","363031","350201","340267","327024","323651","326619","328875","336690","","360683","371694","384197","395870","415205","","419806","414103","415793","415793","410400","406622","403344","470807","470711","469568","467484","468536","471787","",
"Dominican Republic","DOM","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","764085","823553","833439","836942","867592","911142","934769","946869","1032508","1069117","1105730","1149805","1092838","1121851","1205582","1219681","","","","","1073189","1090637","1122294","1121819","1121000","1171518","1170445","1267254","1315342","1363609","","1399844","1374624","1281885","1289745","1234450","1355085","1305661","1333468","1317802","1310199","1283515","1291154","1267930","1307128","1287118","",
"Algeria","DZA","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","1887148","2057048","2244844","2409367","2525365","2663248","2785264","2894084","2972242","3061252","3118827","3178912","3241924","3336536","3414705","3481288","3635332","3801651","3911388","4027612","4189152","4357352","4436363","4515274","4548827","4617728","4674947","4719137","4778870","4843313","4720950","4691870","4612574","4507703","4361744","4196580","4086925","3942242","3252664","3312440","3363236","3451588","3608812","3765307","3925429","4118362","",
"East Asia & Pacific (excluding high income)","EAP","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
